property_type,sector,bedRoom,bathroom,built_up_area,study room,servant room,store room
0.0,80.0,3.0,4,1950.0,0,1,0
0.0,57.0,3.0,3,1245.0,0,0,1
0.0,78.0,4.0,4,1783.0,0,0,0
1.0,44.0,1.0,1,1535.0,0,0,0
0.0,73.0,4.0,4,1650.0,1,0,0
0.0,98.0,3.0,4,1580.0,0,0,1
0.0,2.0,3.0,3,1705.0,0,1,0
1.0,57.0,3.0,3,3240.0,1,1,0
1.0,22.0,2.0,5,1440.0,0,0,0
0.0,44.0,3.0,3,2191.0,1,0,0
0.0,47.0,2.0,2,1000.0,0,0,0
1.0,25.0,3.0,3,1557.0,1,0,0
0.0,21.0,3.0,3,1611.0,0,0,0
0.0,72.0,3.0,2,630.0,0,0,0
0.0,14.0,4.0,5,3032.0,0,1,0
0.0,11.0,3.0,4,1946.0,0,1,0
0.0,98.0,3.0,2,1878.0,0,0,0
0.0,44.0,4.0,3,2025.0,1,1,0
1.0,47.0,3.0,2,684.0,1,0,0
1.0,31.0,3.0,3,8829.0,1,0,0
0.0,4.0,3.0,4,1700.0,0,1,0
