property_type,sector,price,bedRoom,bathroom,built_up_area,study room,servant room,store room
house,sector 4,0.65,4,2,585,0,0,0
flat,sector 33,1.2,2,2,86,0,0,0
house,sector 109,6.2,5,5,2430,0,1,0
house,sector 24,1.6,8,5,540,0,0,0
flat,sohna road,0.35,2,2,694,0,0,0
house,sector 66,18.0,5,6,4500,1,1,1
flat,sector 90,1.25,3,3,1578,0,0,0
flat,sector 84,1.05,3,3,1610,0,0,0
house,sector 5,0.96,2,4,945,0,0,1
flat,sector 99,0.5,2,1,652,0,0,0
flat,sector 89,0.86,2,3,998,0,0,0
flat,sector 37c,1.27,3,3,1595,0,0,0
flat,sector 113,2.57,4,5,2060,1,0,0
flat,sector 81,2.35,3,4,2513,0,1,0
flat,sector 83,1.3,3,3,1387,0,1,0
flat,sector 82,0.89,2,2,1202,1,0,0
flat,sector 102,1.85,3,3,2250,0,1,0
flat,sector 112,3.75,3,5,2536,0,1,0
house,sector 45,4.49,3,9,1836,0,0,0
flat,sector 74,1.57,2,2,1300,0,0,0
flat,sector 3,1.3,2,2,1604,0,0,0
house,sector 46,4.5,6,6,1845,0,0,1
flat,sector 69,1.68,4,4,1819,0,0,0
house,sector 24,10.0,8,10,3915,0,0,0
flat,sector 70a,1.6,4,4,1600,1,0,0
flat,sector 47,2.15,3,4,1950,0,1,0
flat,sohna road,0.78,2,2,1319,1,0,0
flat,sector 109,1.6,3,3,1550,0,0,0
house,sector 66,19.0,5,6,6667,0,1,1
flat,sector 92,0.68,3,3,1442,0,0,0
flat,sector 82,0.78,2,2,1175,0,0,0
flat,sector 59,5.0,4,4,4254,1,1,1
flat,sector 7,0.48,3,2,889,0,0,0
flat,sector 84,1.15,2,2,1361,1,0,0
flat,sector 37d,1.1,3,3,1389,0,0,0
flat,sector 70,1.75,3,4,1950,0,1,0
flat,sector 50,1.4,3,3,1245,0,0,1
flat,sector 69,1.72,4,4,1783,0,0,0
house,sector 37d,1.16,1,1,1535,0,0,0
flat,sector 65,2.8,4,4,1650,1,0,0
flat,sector 86,1.56,3,4,1580,0,0,1
flat,manesar,0.73,3,3,1705,0,1,0
house,sector 50,11.95,3,3,3240,1,1,0
house,sector 17,3.5,2,5,1440,0,0,0
flat,sector 37d,1.71,3,3,2191,1,0,0
flat,sector 4,0.46,2,2,1000,0,0,0
house,sector 2,2.75,3,3,1557,1,0,0
flat,sector 15,1.6,3,3,1611,0,0,0
flat,sector 63a,0.42,3,2,630,0,0,0
flat,sector 110,3.3,4,5,3032,0,1,0
flat,sector 109,1.75,3,4,1946,0,1,0
flat,sector 86,0.95,3,2,1878,0,0,0
flat,sector 37d,1.77,4,3,2025,1,1,0
house,sector 4,0.7,3,2,684,1,0,0
house,sector 26,3.25,3,3,8829,1,0,0
flat,sector 102,1.7,3,4,1700,0,1,0
house,sector 70a,1.04,3,3,1611,0,0,0
flat,sector 89,0.8,2,2,1441,0,0,0
